siteid,eventid,individualid,growthform,stemdiameter,basalstemdiametermeasurementheight,maxcrowndiameter,vdapexbreakheight,maxbasecrowndiameter,samplingprotocolversion,plotid,tagid,plantstatus,measurementheight,vdapexheight,ninetycrowndiameter,vdbasebreakheight,ninetybasecrowndiameter,remarks,date,domainid,subplotid,nestedsubplotid,tagstatus,shape,basalstemdiameter,vdbaseheight,canopyposition,breakdiameter,basecrownheight,dataqf,plotType,subtype
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03477,smt,9.7,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3477,5,130,6,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,NA,NA,ok,NA,NA,-1.2,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03475,sbt,12.7,-1.4,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3475,1,130,11.4,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,3,ok,NA,11.4,-1.4,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.06016,sbt,14.2,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,6016,1,130,13.1,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03478,sbt,17.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3478,1,130,8.2,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.6,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03483,mbt,27.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3483,1,130,9,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.3,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03485,sbt,13.9,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3485,1,130,5.9,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03484,sbt,15.9,NA,NA,0.5,NA,NEON.DOC.000987vF,OSBS_032,3484,10,130,0.5,NA,-1.4,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.4,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03501,sbt,30.4,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3501,1,130,14,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.7,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03482,sbt,21.1,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3482,1,160,7.9,NA,NA,NA,tag at 125 cm,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.4,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03503,sbt,27.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3503,1,130,8.7,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03502,sbt,17,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3502,1,140,5,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03543,smt,9.3,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3543,1,130,4.5,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.2,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.06017,smt,8.4,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,6017,5,130,4.8,NA,NA,NA,phenology tree,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.4,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03541,smt,8.7,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3541,1,130,8,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.3,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03540,smt,9.4,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3540,5,130,6.3,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,-1.5,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03547,smt,2.8,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3547,6,10,0.2,NA,NA,NA,Scorched crown ,2016-09-12T00:00:00.000Z,D03,39,NA,ok,NA,NA,0,NA,NA,NA,NA,tower,basePlot
